CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Yakima, WA Metro Area",10.8,10.8,10.8,41.9,30.2,8.1,76.7,0.2,0,0.5,789,0,8.6,0,8455,8455,1.3,0.1,0.1
"York-Hanover, PA Metro Area",11.6,11.6,11.6,42.5,44.4,14.7,73,,,,,,6.8,,2512,2512,,1.8,1.8
"Youngstown-Warren-Boardman, OH-PA Metro Area",14.9,14.9,14.9,46.2,27.6,9.1,75.3,0.1,52,1.2,260,1844,9.5,0,62633,62633,0.1,0.6,0.6
"Yuba City, CA Metro Area",8.7,8.7,8.7,27.8,44.2,10.9,64.5,0.1,280,0.6,4933,6944,7.4,0,359596,359596,0.4,2.2,2.2
"Yuma, AZ Metro Area",8.8,8.8,8.8,29.5,37.6,11.3,71,0,0,0.3,1466,206,7.3,0,68164,68164,0.5,0.4,0.4
"Zanesville, OH Micro Area",10.7,10.7,10.7,37.4,53.7,15.4,71.5,0.2,126,0.6,6166,657,7.3,0,447666,447666,0.3,0.8,0.8
"Charleston-North Charleston, SC Metro Area",11.4,11.4,11.4,40.9,28.7,10.1,70.2,0,0,1.6,315,20,8.2,0,3126,3126,0.5,0.2,0.2
"Champaign-Urbana, IL Metro Area",10.5,10.5,10.5,36.5,31.3,14,74,8.6,58,1.8,661,247,9.4,0.1,13138,13138,0.9,0.6,0.6
"Charleston, WV Metro Area",9.9,9.9,9.9,44.8,28.1,12.1,61.4,,,,,,6.6,,498,498,,0,0
"Charlotte-Concord-Gastonia, NC-SC Metro Area",13.3,13.3,13.3,41.4,60.7,19.4,77.2,41.4,1237,1.5,1670,42,8.8,3.8,1011,1011,5.1,0.1,0.1
"Charlottesville, VA Metro Area",11.2,11.2,11.2,32.9,33.2,12.3,72.4,0.5,0,0.4,691,76,6.6,0,4426,4426,1.7,0.8,0.8
